input,cores,chunk_size,run1s,run2s,run3s,run4s,run5s
100000,44,10,58.34,99.55,228.38,58.51,59.30
100000,44,16,85.99,276.29,272.02,84.58,90.01
100000,44,32,117.30,280.89,174.12,264.05,174.57
100000,44,64,225.15,220.09,217.41,292.71,218.35
100000,44,128,244.23,287.40,261.86,250.44,292.10
100000,44,256,266.72,276.51,288.80,290.81,287.94
100000,44,512,269.95,286.02,270.46,288.80,289.22
100000,44,1024,140.29,287.76,287.07,297.41,276.96
100000,44,2048,288.72,285.67,244.25,283.19,30.70
100000,44,4096,122.16,9.21,9.49,14.77,276.92
100000,48,1,290.43,299.87,290.42,289.33,287.96
100000,48,10,98.57,101.83,55.84,232.85,225.63
100000,48,16,81.64,83.97,167.98,270.96,161.00
100000,48,32,269.63,147.40,144.62,144.81,265.53
100000,48,64,210.13,285.98,290.25,286.30,208.57
100000,48,128,287.20,289.89,231.19,234.08,287.76
100000,48,256,246.95,289.04,263.65,245.99,247.54
100000,48,512,258.23,275.22,267.88,258.83,264.92
100000,48,1024,271.32,271.60,274.25,285.03,291.42
100000,48,2048,277.40,273.75,283.71,291.72,291.48
100000,48,4096,8.45,277.56,284.76,276.91,8.34
100000,52,1,298.72,293.84,292.51,287.40,288.40
100000,52,10,50.85,101.17,225.33,103.29,54.65
100000,52,16,82.43,164.42,273.37,80.81,71.24
100000,52,32,257.39,160.41,200.37,137.19,153.35
100000,52,64,199.13,291.90,285.29,200.26,291.91
100000,52,128,221.80,224.58,289.64,291.11,288.26
100000,52,256,292.80,291.99,294.71,255.79,291.87
100000,52,512,264.92,287.91,246.66,245.81,251.05
100000,52,1024,289.11,275.17,263.48,290.43,259.54
100000,52,2048,7.71,260.70,292.26,281.50,282.14
100000,52,4096,7.67,7.57,7.62,275.56,282.55
100000,56,1,293.48,286.92,291.01,304.22,293.63
100000,56,10,49.70,47.88,46.28,105.00,50.66
100000,56,16,205.41,72.82,270.83,174.69,76.99
100000,56,32,260.78,167.18,283.67,281.89,254.41
100000,56,64,286.03,189.15,288.03,286.48,187.38
100000,56,128,214.36,288.81,211.74,288.16,288.17
100000,56,256,289.09,242.32,222.33,243.31,288.61
100000,56,512,288.75,288.14,287.76,287.54,232.70
100000,56,1024,264.51,252.18,259.13,250.70,288.35
100000,56,2048,277.68,292.47,269.79,290.79,119.37
100000,56,4096,285.63,7.18,7.12,289.10,16.01
100000,60,1,287.87,290.67,285.81,293.35,286.41
100000,60,10,104.79,45.46,47.06,43.81,193.99
100000,60,16,151.41,70.65,70.19,165.56,70.00
100000,60,32,146.83,120.35,286.68,120.61,146.86
100000,60,64,286.58,183.98,193.14,286.75,176.59
100000,60,128,301.90,25.94,208.32,288.76,201.99
100000,60,256,225.22,286.46,247.56,216.00,293.70
100000,60,512,289.31,290.67,226.64,295.50,222.81
100000,60,1024,239.14,288.44,244.99,242.87,235.18
100000,60,2048,286.80,293.33,253.00,284.40,258.07
100000,60,4096,6.94,282.78,6.90,258.40,6.87
100000,64,1,285.05,293.24,286.91,289.72,286.48
100000,64,10,233.93,229.96,42.51,223.28,103.53
100000,64,16,69.66,268.64,210.74,169.49,71.31
100000,64,32,276.67,278.60,280.19,126.98,278.84
100000,64,64,284.77,291.24,289.89,285.83,288.38
100000,64,128,289.60,291.14,290.57,199.24,204.98
100000,64,256,291.35,280.55,277.78,210.64,226.94
100000,64,512,240.80,290.81,288.60,241.77,291.11
100000,64,1024,224.89,91.31,97.10,136.25,288.61
100000,64,2048,6.28,280.68,6.27,261.48,236.70
100000,64,4096,17.96,6.23,61.58,268.89,285.30
